no,fecha,cfdi,nombre,monto,dias,fecha_pago
53,3/24/2020,7667,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,26,5/23/2020
54,3/24/2020,7662,BESTOP INC .(LOUISVILLE),1463.48,26,5/29/2020
55,3/24/2020,11033,BESTOP INC .(LOUISVILLE),8647.76,26,5/29/2020
56,3/25/2020,7668,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,25,5/23/2020
57,3/25/2020,7670,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,25,5/23/2020
58,3/25/2020,7671,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,3834.82,25,5/23/2020
59,3/25/2020,7669,BESTOP INC .(LOUISVILLE),22327.2,25,5/29/2020
60,3/26/2020,7672,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4414.74,24,5/23/2020
61,3/26/2020,7673,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,24,5/23/2020
62,3/26/2020,7674,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,24,5/23/2020
63,3/26/2020,7675,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,3552.67,24,5/23/2020
64,3/26/2020,10108,BESTOP INC .(LOUISVILLE),30095.1,24,5/29/2020
65,3/26/2020,7676,FLEX N GATE MEXICO S. DE R.L. DE C.V.,2194.08,24,5/25/2020
66,3/27/2020,7677,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,23,5/23/2020
67,3/27/2020,7678,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,5260.32,23,5/23/2020
68,3/27/2020,7679,ANTOLIN INTERIORS MEXICO S.A. DE C.V.,4146.76,23,5/23/2020
